"","Student ID","Gender","First Generation Indicator","Term Code","Term UG Crs GPA","Cum UG Crs GPA"
"1",8098858,"Male","Not First Generation College Stdnt","202410",2.52,2.52
"2",8098858,"Male","Not First Generation College Stdnt","202420",2.26,2.4
"3",8108061,"Male","Not First Generation College Stdnt","202410",3.86,3.86
"4",8108061,"Male","Not First Generation College Stdnt","202420",3.35,3.63
"5",8108061,"Male","Not First Generation College Stdnt","202510",NA,3.63
"6",8109444,"Female","Not First Generation College Stdnt","202410",3.82,3.82
"7",8109444,"Female","Not First Generation College Stdnt","202420",3.82,3.82
"8",8109444,"Female","Not First Generation College Stdnt","202510",NA,3.82
"9",8110017,"Male","Not First Generation College Stdnt","202410",2.4,2.4
"10",8110017,"Male","Not First Generation College Stdnt","202420",2.68,2.53
"11",8110017,"Male","Not First Generation College Stdnt","202510",NA,2.53
"12",8113940,"Female","Not First Generation College Stdnt","202410",3.82,3.82
"13",8113940,"Female","Not First Generation College Stdnt","202420",3.86,3.84
"14",8113940,"Female","Not First Generation College Stdnt","202510",NA,3.84
"15",8115814,"Male","Not First Generation College Stdnt","202410",3.3,3.3
"16",8115814,"Male","Not First Generation College Stdnt","202420",2.4,2.87
"17",8115814,"Male","Not First Generation College Stdnt","202510",NA,2.87
"18",8118995,"Female","Not First Generation College Stdnt","202410",3.6,3.6
"19",8118995,"Female","Not First Generation College Stdnt","202420",3.73,3.67
"20",8118995,"Female","Not First Generation College Stdnt","202510",NA,3.67
"21",8119866,"Male","Not First Generation College Stdnt","202410",3.77,3.77
"22",8119866,"Male","Not First Generation College Stdnt","202420",3.6,3.68
"23",8119866,"Male","Not First Generation College Stdnt","202510",NA,3.68
"24",8125309,"Male","Not First Generation College Stdnt","202410",4,4
"25",8125309,"Male","Not First Generation College Stdnt","202420",4,4
"26",8125309,"Male","Not First Generation College Stdnt","202510",NA,4
"27",8132821,"Male","Not First Generation College Stdnt","202310",3.8,3.8
"28",8132821,"Male","Not First Generation College Stdnt","202320",3.4,3.6
"29",8132821,"Male","Not First Generation College Stdnt","202410",3.08,3.42
"30",8136759,"Female","First Generation College Stdnt","202310",3.77,3.77
"31",8136759,"Female","First Generation College Stdnt","202320",3.67,3.72
"32",8136759,"Female","First Generation College Stdnt","202410",3.8,3.74
"33",8136759,"Female","First Generation College Stdnt","202420",3.64,3.72
"34",8136759,"Female","First Generation College Stdnt","202510",NA,3.72
"35",8144976,"Female","Not First Generation College Stdnt","202310",3.72,3.72
"36",8144976,"Female","Not First Generation College Stdnt","202320",3.49,3.6
"37",8144976,"Female","Not First Generation College Stdnt","202410",3.8,3.66
"38",8144976,"Female","Not First Generation College Stdnt","202420",2.68,3.42
"39",8144976,"Female","Not First Generation College Stdnt","202510",NA,3.42
"40",8147231,"Male","Not First Generation College Stdnt","202310",3.82,3.82
"41",8147231,"Male","Not First Generation College Stdnt","202320",3.92,3.87
"42",8147231,"Male","Not First Generation College Stdnt","202410",3.6,3.78
"43",8147231,"Male","Not First Generation College Stdnt","202420",3.8,3.78
"44",8147231,"Male","Not First Generation College Stdnt","202510",NA,3.78
"45",8149309,"Male","Not First Generation College Stdnt","202310",3.11,3.11
"46",8149309,"Male","Not First Generation College Stdnt","202320",2.86,2.99
"47",8149309,"Male","Not First Generation College Stdnt","202410",2.91,2.97
"48",8149309,"Male","Not First Generation College Stdnt","202420",2.34,2.81
"49",8149309,"Male","Not First Generation College Stdnt","202510",NA,2.81
"50",8151695,"Male","Not First Generation College Stdnt","202310",3.04,3.04
"51",8151695,"Male","Not First Generation College Stdnt","202320",2.12,2.61
"52",8151695,"Male","Not First Generation College Stdnt","202410",2.46,2.61
"53",8151695,"Male","Not First Generation College Stdnt","202420",2.4,2.55
"54",8151695,"Male","Not First Generation College Stdnt","202510",NA,2.55
"55",8152749,"Male","Not First Generation College Stdnt","202310",3.51,3.51
"56",8152749,"Male","Not First Generation College Stdnt","202320",3.94,3.71
"57",8152749,"Male","Not First Generation College Stdnt","202410",3.12,3.52
"58",8152749,"Male","Not First Generation College Stdnt","202420",3.22,3.45
"59",8152749,"Male","Not First Generation College Stdnt","202510",NA,3.45
"60",8160693,"Male","Not First Generation College Stdnt","202310",2.76,2.76
"61",8160693,"Male","Not First Generation College Stdnt","202320",2.07,2.43
"62",8160693,"Male","Not First Generation College Stdnt","202410",2.46,2.44
"63",8160693,"Male","Not First Generation College Stdnt","202420",3.06,2.6
"64",8160693,"Male","Not First Generation College Stdnt","202510",NA,2.6
"65",8166210,"Male","Not First Generation College Stdnt","202310",4,4
"66",8166210,"Male","Not First Generation College Stdnt","202320",3.93,3.96
"67",8166210,"Male","Not First Generation College Stdnt","202410",3.94,3.96
"68",8166210,"Male","Not First Generation College Stdnt","202420",3.52,3.85
"69",8166210,"Male","Not First Generation College Stdnt","202510",NA,3.85
"70",8183049,"Male","Not First Generation College Stdnt","202210",3.84,3.84
"71",8183049,"Male","Not First Generation College Stdnt","202220",3.94,3.89
"72",8183049,"Male","Not First Generation College Stdnt","202310",3.36,3.71
"73",8183049,"Male","Not First Generation College Stdnt","202410",3.34,3.56
"74",8183049,"Male","Not First Generation College Stdnt","202420",3.68,3.59
"75",8183049,"Male","Not First Generation College Stdnt","202510",NA,3.59
"76",8183142,"Male","Not First Generation College Stdnt","202210",2.27,2.27
"77",8183142,"Male","Not First Generation College Stdnt","202220",3.63,3.12
"78",8183142,"Male","Not First Generation College Stdnt","202310",2.52,2.91
"79",8183142,"Male","Not First Generation College Stdnt","202320",3.17,2.97
"80",8183142,"Male","Not First Generation College Stdnt","202410",2.62,2.9
"81",8183142,"Male","Not First Generation College Stdnt","202420",2.62,2.85
"82",8183142,"Male","Not First Generation College Stdnt","202510",NA,2.89
"83",8185339,"Male","Not First Generation College Stdnt","202210",3.87,3.87
"84",8185339,"Male","Not First Generation College Stdnt","202220",4,3.93
"85",8185339,"Male","Not First Generation College Stdnt","202310",3.95,3.94
"86",8185339,"Male","Not First Generation College Stdnt","202320",4,3.95
"87",8185339,"Male","Not First Generation College Stdnt","202410",4,3.96
"88",8185339,"Male","Not First Generation College Stdnt","202420",4,3.97
"89",8185339,"Male","Not First Generation College Stdnt","202510",NA,3.97
"90",8188789,"Male","Not First Generation College Stdnt","202210",3.45,3.45
"91",8188789,"Male","Not First Generation College Stdnt","202220",2.67,3.06
"92",8188789,"Male","Not First Generation College Stdnt","202310",3.35,3.15
"93",8188789,"Male","Not First Generation College Stdnt","202320",3.07,3.07
"94",8188789,"Male","Not First Generation College Stdnt","202410",2.6,2.98
"95",8188789,"Male","Not First Generation College Stdnt","202420",3.22,3.04
"96",8188789,"Male","Not First Generation College Stdnt","202510",NA,3.04
"97",8189765,"Male","Not First Generation College Stdnt","202210",2.7,2.7
"98",8189765,"Male","Not First Generation College Stdnt","202220",2.93,2.83
"99",8189765,"Male","Not First Generation College Stdnt","202310",2.74,2.8
"100",8189765,"Male","Not First Generation College Stdnt","202320",2.85,2.81
"101",8189765,"Male","Not First Generation College Stdnt","202410",2.34,2.71
"102",8189765,"Male","Not First Generation College Stdnt","202420",2.65,2.7
"103",8189765,"Male","Not First Generation College Stdnt","202510",NA,2.7
"104",8190053,"Male","Not First Generation College Stdnt","202310",2.75,2.75
"105",8190053,"Male","Not First Generation College Stdnt","202320",3.21,2.99
"106",8190053,"Male","Not First Generation College Stdnt","202410",2.5,2.85
"107",8190053,"Male","Not First Generation College Stdnt","202420",2.67,2.9
"108",8190053,"Male","Not First Generation College Stdnt","202510",NA,2.85
"109",8190645,"Male","Not First Generation College Stdnt","202210",3.81,3.81
"110",8190645,"Male","Not First Generation College Stdnt","202220",3.7,3.75
"111",8190645,"Male","Not First Generation College Stdnt","202310",3.3,3.6
"112",8190645,"Male","Not First Generation College Stdnt","202320",3.74,3.63
"113",8190645,"Male","Not First Generation College Stdnt","202410",3.51,3.61
"114",8190645,"Male","Not First Generation College Stdnt","202420",3.45,3.58
"115",8190645,"Male","Not First Generation College Stdnt","202510",NA,3.58
"116",8190732,"Female","Not First Generation College Stdnt","202210",3.65,3.65
"117",8190732,"Female","Not First Generation College Stdnt","202220",3.77,3.71
"118",8190732,"Female","Not First Generation College Stdnt","202310",3.75,3.72
"119",8190732,"Female","Not First Generation College Stdnt","202320",3.93,3.76
"120",8190732,"Female","Not First Generation College Stdnt","202410",3.94,3.8
"121",8190732,"Female","Not First Generation College Stdnt","202420",3.93,3.82
"122",8190732,"Female","Not First Generation College Stdnt","202510",NA,3.82
"123",8193517,"Male","Not First Generation College Stdnt","202210",4,4
"124",8193517,"Male","Not First Generation College Stdnt","202220",4,4
"125",8193517,"Male","Not First Generation College Stdnt","202310",3.88,3.95
"126",8193517,"Male","Not First Generation College Stdnt","202320",4,3.96
"127",8193517,"Male","Not First Generation College Stdnt","202410",4,3.97
"128",8193517,"Male","Not First Generation College Stdnt","202420",4,3.97
"129",8193517,"Male","Not First Generation College Stdnt","202510",NA,3.97
"130",8194067,"Female","Not First Generation College Stdnt","202210",3.6,3.6
"131",8194067,"Female","Not First Generation College Stdnt","202220",3.86,3.73
"132",8194067,"Female","Not First Generation College Stdnt","202310",3.88,3.78
"133",8194067,"Female","Not First Generation College Stdnt","202320",3.92,3.81
"134",8194067,"Female","Not First Generation College Stdnt","202410",NA,3.78
"135",8194067,"Female","Not First Generation College Stdnt","202420",3.66,3.75
"136",8194067,"Female","Not First Generation College Stdnt","202510",NA,3.75
"137",8194253,"Female","Not First Generation College Stdnt","202210",4,4
"138",8194253,"Female","Not First Generation College Stdnt","202220",3.85,3.9
"139",8194253,"Female","Not First Generation College Stdnt","202310",3.83,3.88
"140",8194253,"Female","Not First Generation College Stdnt","202320",NA,3.85
"141",8194253,"Female","Not First Generation College Stdnt","202410",4,3.88
"142",8194253,"Female","Not First Generation College Stdnt","202420",4,3.9
"143",8194253,"Female","Not First Generation College Stdnt","202510",NA,3.9
"144",8194429,"Female","Not First Generation College Stdnt","202210",2.86,2.86
"145",8194429,"Female","Not First Generation College Stdnt","202220",3.74,3.28
"146",8194429,"Female","Not First Generation College Stdnt","202310",3.8,3.46
"147",8194429,"Female","Not First Generation College Stdnt","202320",3.55,3.48
"148",8194429,"Female","Not First Generation College Stdnt","202410",3.71,3.53
"149",8194429,"Female","Not First Generation College Stdnt","202420",3.88,3.59
