"","Student ID","Term Code","Degree Type","Degree","Semesters to Degree Average","Major 1","Major 2","Major 3"
"1","8129435","202520","Bachelor","B.S. in Business",6,"Business Analytics",NA,NA
"2","8144902","202520","Bachelor","B.S. in Business",6,"Business Analytics","Marketing",NA
"3","8144902","202520","Bachelor","B.S. in Business",6,"Business Analytics","Marketing",NA
"4","8149335","202520","Bachelor","B.S. in Business",6,"Business Analytics",NA,NA
"5","8164296","202520","Bachelor","B.S. in Business",6,"Business Analytics","Human Capital Mgmt& Leadership",NA
"6","8164296","202520","Bachelor","B.S. in Business",6,"Business Analytics","Human Capital Mgmt& Leadership",NA
"7","8178743","202520","Bachelor","B.S. in Business",8,"Business Analytics",NA,NA
"8","8181140","202520","Bachelor","B.S. in Business",8,"Business Analytics","Finance",NA
"9","8181140","202520","Bachelor","B.S. in Business",8,"Business Analytics","Finance",NA
"10","8181775","202520","Bachelor","B.S. in Business",8,"Business Analytics","Marketing",NA
"11","8181775","202520","Bachelor","B.S. in Business",8,"Business Analytics","Marketing",NA
"12","8182276","202520","Bachelor","B.S. in Business",8,"Business Analytics",NA,NA
"13","8182483","202520","Bachelor","B.S. in Business",8,"Accountancy","Business Analytics",NA
"14","8182483","202520","Bachelor","B.S. in Business",8,"Accountancy","Business Analytics",NA
"15","8183371","202515","Bachelor","B.S. in Business",7,"Business Analytics",NA,NA
"16","8183672","202520","Bachelor","B.S. in Business",8,"Business Analytics","Business Economics",NA
"17","8183672","202520","Bachelor","B.S. in Business",8,"Business Analytics","Business Economics",NA
"18","8184225","202510","Bachelor","B.S. in Business",7,"Business Analytics",NA,NA
"19","8184369","202510","Bachelor","B.S. in Business",7,"Marketing",NA,NA
"20","8185334","202515","Bachelor","B.S. in Business",7,"Business Analytics",NA,NA
"21","8185381","202520","Bachelor","B.S. in Business",8,"Business Analytics","Finance",NA
"22","8185381","202520","Bachelor","B.S. in Business",8,"Business Analytics","Finance",NA
"23","8185825","202520","Bachelor","B.S. in Business",8,"Business Analytics",NA,NA
"24","8186192","202520","Bachelor","B.S. in Business",8,"Business Analytics","Entrepreneurship",NA
"25","8186192","202520","Bachelor","B.S. in Business",8,"Business Analytics","Entrepreneurship",NA
"26","8186376","202520","Bachelor","B.S. in Computer Science",8,"Analytics","Computer Science",NA
"27","8186376","202520","Bachelor","B.S. in Computer Science",8,"Analytics","Computer Science",NA
"28","8186466","202520","Bachelor","B.S. in Business",8,"Business Analytics",NA,NA
"29","8187393","202520","Bachelor","B.S. in Business",8,"Supply Chain & Operations Mgmt",NA,NA
"30","8187578","202515","Bachelor","B.S. in Business",7,"Business Analytics",NA,NA
"31","8188159","202520","Bachelor","B.S. in Business",8,"Finance",NA,NA
"32","8188216","202520","Bachelor","B.S. in Business",8,"Finance",NA,NA
"33","8188376","202520","Bachelor","B.S. in Business",8,"Marketing",NA,NA
"34","8188396","202520","Bachelor","B.S. in Business",8,"Supply Chain & Operations Mgmt",NA,NA
"35","8189088","202510","Bachelor","B.S. in Business",7,"Accountancy",NA,NA
"36","8189159","202520","Bachelor","B.S. in Business",8,"Marketing",NA,NA
"37","8189686","202510","Bachelor","B.S. in Business",7,"Business Analytics",NA,NA
"38","8189730","202520","Bachelor","B.S. in Business",8,"Business Analytics","Spanish",NA
