"","Student ID","Gender","First Generation Indicator","Term Code","Term UG Crs GPA","Cum UG Crs GPA"
"1",8023864,"Male","Not First Generation College Stdnt","202510",NA,NA
"2",8024720,"Male","Not First Generation College Stdnt","202510",NA,NA
"3",8026176,"Male","First Generation College Stdnt","202510",NA,NA
"4",8031298,"Female","Not First Generation College Stdnt","202510",NA,NA
"5",8034088,"Male","First Generation College Stdnt","202510",NA,NA
"6",8035324,"Male","Not First Generation College Stdnt","202510",NA,NA
"7",8035775,"Female","Not First Generation College Stdnt","202510",NA,NA
"8",8035951,"Female","Not First Generation College Stdnt","202510",NA,NA
"9",8036132,"Male","Not First Generation College Stdnt","202510",NA,NA
"10",8036194,"Male","Not First Generation College Stdnt","202510",NA,NA
"11",8036672,"Male","First Generation College Stdnt","202510",NA,NA
"12",8036698,"Female","Not First Generation College Stdnt","202510",NA,NA
"13",8036831,"Male","Not First Generation College Stdnt","202510",NA,NA
"14",8036913,"Male","Not First Generation College Stdnt","202510",NA,NA
"15",8037690,"Male","Not First Generation College Stdnt","202510",NA,NA
"16",8037772,"Male","Not First Generation College Stdnt","202510",NA,NA
"17",8038501,"Male","Not First Generation College Stdnt","202510",NA,NA
"18",8038521,"Female","Not First Generation College Stdnt","202510",NA,NA
"19",8038546,"Male","Not First Generation College Stdnt","202510",NA,NA
"20",8038562,"Female","Not First Generation College Stdnt","202510",NA,NA
"21",8039444,"Female","Not First Generation College Stdnt","202510",NA,NA
"22",8039868,"Male","Not First Generation College Stdnt","202510",NA,NA
"23",8040059,"Male","Not First Generation College Stdnt","202510",NA,NA
"24",8040075,"Male","Not First Generation College Stdnt","202510",NA,NA
"25",8040219,"Female","Not First Generation College Stdnt","202510",NA,NA
"26",8040445,"Female","First Generation College Stdnt","202510",NA,NA
"27",8040552,"Female","Not First Generation College Stdnt","202510",NA,NA
"28",8041080,"Male","Not First Generation College Stdnt","202510",NA,NA
"29",8041446,"Male","Not First Generation College Stdnt","202510",NA,NA
"30",8041624,"Female","Not First Generation College Stdnt","202510",NA,NA
"31",8042057,"Female","Not First Generation College Stdnt","202510",NA,NA
"32",8043161,"Male","Not First Generation College Stdnt","202510",NA,NA
"33",8043208,"Male","Not First Generation College Stdnt","202510",NA,NA
"34",8043424,"Male","Not First Generation College Stdnt","202510",NA,NA
"35",8043792,"Male","First Generation College Stdnt","202510",NA,NA
"36",8043826,"Male","Not First Generation College Stdnt","202510",NA,NA
"37",8044066,"Female","First Generation College Stdnt","202510",NA,NA
"38",8044808,"Male","Not First Generation College Stdnt","202510",NA,NA
"39",8045712,"Male","Not First Generation College Stdnt","202510",NA,NA
"40",8046171,"Female","Not First Generation College Stdnt","202510",NA,NA
"41",8046524,"Female","Not First Generation College Stdnt","202510",NA,NA
"42",8046613,"Male","Not First Generation College Stdnt","202510",NA,NA
"43",8046911,"Male","Not First Generation College Stdnt","202510",NA,NA
"44",8047746,"Male","Not First Generation College Stdnt","202510",NA,NA
"45",8047893,"Male","Not First Generation College Stdnt","202510",NA,NA
"46",8049390,"Male","Not First Generation College Stdnt","202510",NA,NA
"47",8049419,"Male","Not First Generation College Stdnt","202510",NA,NA
"48",8049767,"Male","Not First Generation College Stdnt","202510",NA,NA
"49",8050112,"Female","First Generation College Stdnt","202510",NA,NA
"50",8050561,"Male","Not First Generation College Stdnt","202510",NA,NA
"51",8050565,"Male","Not First Generation College Stdnt","202510",NA,NA
"52",8050777,"Female","Not First Generation College Stdnt","202510",NA,NA
"53",8050880,"Female","Not First Generation College Stdnt","202510",NA,NA
"54",8050882,"Male","Not First Generation College Stdnt","202510",NA,NA
"55",8051472,"Male","Not First Generation College Stdnt","202510",NA,NA
"56",8051545,"Male","Not First Generation College Stdnt","202510",NA,NA
"57",8051960,"Male","Not First Generation College Stdnt","202510",NA,NA
"58",8052697,"Male","Not First Generation College Stdnt","202510",NA,NA
"59",8053165,"Male","First Generation College Stdnt","202510",NA,NA
"60",8053497,"Male","Not First Generation College Stdnt","202510",NA,NA
"61",8053929,"Male","Not First Generation College Stdnt","202510",NA,NA
"62",8054010,"Male","Not First Generation College Stdnt","202510",NA,NA
"63",8054660,"Female","Not First Generation College Stdnt","202510",NA,NA
"64",8055646,"Male","Not First Generation College Stdnt","202510",NA,NA
"65",8055672,"Female","Not First Generation College Stdnt","202510",NA,NA
"66",8055733,"Male","Not First Generation College Stdnt","202510",NA,NA
"67",8056384,"Female","Not First Generation College Stdnt","202510",NA,NA
"68",8056949,"Female","Not First Generation College Stdnt","202510",NA,NA
"69",8057083,"Male","Not First Generation College Stdnt","202510",NA,NA
"70",8059043,"Male","Not First Generation College Stdnt","202510",NA,NA
"71",8059580,"Female","First Generation College Stdnt","202510",NA,NA
"72",8059728,"Male","Not First Generation College Stdnt","202510",NA,NA
"73",8060075,"Male","Not First Generation College Stdnt","202510",NA,NA
"74",8060712,"Female","First Generation College Stdnt","202510",NA,NA
"75",8061238,"Female","Not First Generation College Stdnt","202510",NA,NA
"76",8061318,"Male","Not First Generation College Stdnt","202510",NA,NA
"77",8061828,"Female","First Generation College Stdnt","202510",NA,NA
