"","Student ID","Term Code","Term UG MU Earned CrHr","Term UG Overall Earned CrHr (MU and Non-MU)","Cum UG Overall Earned CrHr (MU and Non-MU)"
"1",8023864,"202510",NA,NA,NA
"2",8024720,"202510",NA,NA,NA
"3",8024720,"202520",NA,NA,NA
"4",8026176,"202510",0,3,3
"5",8034088,"202510",0,7,7
"6",8035324,"202510",0,4,4
"7",8035775,"202510",0,32,32
"8",8035951,"202510",0,0,0
"9",8036132,"202510",NA,NA,NA
"10",8036194,"202510",0,26,26
"11",8036672,"202510",0,17,17
"12",8036698,"202510",1,1,1
"13",8036831,"202510",NA,NA,NA
"14",8036913,"202510",0,9,9
"15",8037690,"202510",0,0,0
"16",8037772,"202510",0,41,41
"17",8038501,"202510",0,4,4
"18",8038546,"202510",NA,NA,NA
"19",8038562,"202510",0,3,3
"20",8039303,"202510",0,37,37
"21",8039444,"202510",0,42,42
"22",8039868,"202510",0,11,11
"23",8040059,"202510",0,6,6
"24",8040075,"202510",NA,NA,NA
"25",8040219,"202510",0,6,6
"26",8040552,"202510",NA,NA,NA
"27",8041080,"202510",0,19,19
"28",8041446,"202510",1,7,7
"29",8041471,"202510",0,41,41
"30",8041471,"202520",NA,NA,41
"31",8041624,"202510",0,24,24
"32",8042057,"202510",1,20,20
"33",8043161,"202510",0,10,10
"34",8043208,"202510",0,15,15
"35",8043424,"202510",NA,NA,NA
"36",8043792,"202510",1,17,17
"37",8043826,"202510",0,0,0
"38",8044066,"202510",NA,NA,NA
"39",8045712,"202510",0,34,34
"40",8045712,"202520",NA,NA,34
"41",8046171,"202510",0,13,13
"42",8046171,"202520",NA,NA,13
"43",8046524,"202510",0,7,7
"44",8046524,"202520",NA,NA,7
"45",8046613,"202510",NA,NA,NA
"46",8046613,"202520",NA,NA,NA
"47",8046911,"202510",0,0,0
"48",8047746,"202510",0,12,12
"49",8047893,"202510",0,6,6
"50",8049390,"202510",NA,NA,NA
"51",8049390,"202520",NA,NA,NA
"52",8049419,"202510",0,26,26
"53",8049767,"202510",0,28,28
"54",8050561,"202510",0,9,9
"55",8050561,"202520",NA,NA,9
"56",8050565,"202510",0,9,9
"57",8050777,"202510",NA,NA,NA
"58",8050880,"202510",NA,NA,NA
"59",8050882,"202510",1,1,1
"60",8051472,"202510",0,41,41
"61",8051545,"202510",0,9,9
"62",8051545,"202520",NA,NA,9
"63",8051960,"202510",0,37,37
"64",8052697,"202510",0,16,16
"65",8053165,"202510",0,3,3
"66",8053497,"202510",0,16,16
"67",8053929,"202510",0,10,10
"68",8053929,"202520",NA,NA,10
