"","Student ID","Course","Term Code","Earned Academic Credit","Final Letter Grade Group","Final Letter Grade","GPA Quality Points"
"1",8521862,"ACC221","201520","Y","A","A+",4
"2",8521862,"CSE148","201520","Y","A","A",4
"3",8521862,"FIN301","201710","Y","A","A",4
"4",8521862,"ISA235","201610","Y","A","A",4
"5",8521862,"MGT291","201620","Y","A","A+",4
"6",8521298,"ACC221","201520","Y","A","A",4
"7",8521298,"CSE148","201520","Y","A","A",4
"8",8521298,"FIN301","201710","Y","A","A",4
"9",8521298,"ISA235","201610","Y","A","A",4
"10",8521298,"MGT291","201620","Y","A","A+",4
"11",8476995,"ACC221","201620","Y","B","B+",3.3
"12",8476995,"CSE148","201620","Y","A","A",4
"13",8476995,"ECO201","201620","Y","A","A",4
"14",8476995,"FIN301","201720","Y","A","A-",3.7
"15",8476995,"ISA235","201710","Y","A","A-",3.7
"16",8476995,"MGT291","201720","Y","B","B",3
"17",8458965,"ACC221","201610","Y","A","A-",3.7
"18",8458965,"CSE148","201610","Y","A","A",4
"19",8458965,"FIN301","201820","Y","A","A",4
"20",8458965,"ISA235","201710","Y","A","A-",3.7
"21",8458965,"MGT291","201710","Y","A","A",4
"22",8429284,"ISA225","201920","Y","B","B-",2.7
"23",8429284,"ISA235","201920","Y","B","B",3
"24",8429284,"MTH151","201810","Y","B","B",3
"25",8401257,"ACC221","201820","Y","B","B+",3.3
"26",8401257,"BUS104","201810","Y","B","B",3
"27",8401257,"CSE148","201820","Y","A","A-",3.7
"28",8401257,"ECO201","201810","Y","A","A",4
"29",8401257,"ISA225","201820","Y","B","B",3
"30",8401257,"ISA235","201910","Y","A","A",4
"31",8401257,"MGT291","201920","Y","A","A-",3.7
"32",8401257,"MTH151","201710","Y","B","B",3
"33",8398381,"ACC221","201810","Y","A","A",4
"34",8398381,"BUS104","201820","Y","B","B+",3.3
"35",8398381,"CSE148","201810","Y","A","A",4
"36",8398381,"ECO201","201810","Y","A","A",4
"37",8398381,"FIN301","201910","Y","B","B-",2.7
"38",8398381,"ISA225","201820","Y","B","B+",3.3
"39",8398381,"ISA235","201910","Y","A","A-",3.7
"40",8398381,"MGT291","201910","Y","B","B+",3.3
"41",8398361,"BUS104","201910","Y","C","C-",1.7
"42",8398361,"CSE148","201920","Y","C","C-",1.7
"43",8398361,"ECO201","201820","Y","B","B-",2.7
"44",8398361,"ISA225","201920","Y","B","B-",2.7
"45",8398361,"ISA235","202010","Y","B","B+",3.3
"46",8398361,"MGT291","201920","Y","B","B",3
"47",8398303,"ACC221","201920","Y","C","C-",1.7
"48",8398303,"BUS104","201910","Y","B","B+",3.3
"49",8398303,"CSE148","201920","Y","B","B-",2.7
"50",8398303,"ECO201","202010","Y","B","B",3
"51",8398303,"FIN301","202030","Y","C","C",2
"52",8398303,"ISA225","201920","Y","C","C",2
"53",8398303,"ISA235","202010","Y","B","B",3
"54",8398303,"MGT291","202110","Y","A","A",4
"55",8398291,"ACC221","201910","Y","A","A",4
"56",8398291,"BUS104","201820","Y","A","A-",3.7
"57",8398291,"CSE148","201810","Y","A","A",4
"58",8398291,"ECO201","201910","Y","A","A",4
"59",8398291,"FIN301","202010","Y","B","B+",3.3
"60",8398291,"ISA225","201820","Y","B","B",3
"61",8398291,"ISA235","201910","Y","B","B",3
"62",8398291,"MGT291","201920","Y","A","A-",3.7
"63",8398240,"CSE148","201820","Y","A","A",4
"64",8398240,"ECO201","201910","Y","B","B+",3.3
"65",8398240,"ISA225","201910","Y","A","A-",3.7
"66",8398240,"ISA235","201910","Y","B","B+",3.3
"67",8398240,"MTH151","201820","Y","A","A",4
"68",8398224,"ACC221","201910","Y","B","B+",3.3
"69",8398224,"BUS104","201910","Y","A","A-",3.7
"70",8398224,"CSE148","201915","Y","A","A",4
"71",8398224,"FIN301","202110","Y","B","B+",3.3
"72",8398224,"ISA225","201920","Y","A","A-",3.7
"73",8398224,"ISA235","202010","Y","B","B+",3.3
"74",8398224,"MGT291","202010","Y","A","A",4
"75",8398216,"ACC221","201910","Y","B","B-",2.7
"76",8398216,"BUS104","201810","Y","B","B+",3.3
"77",8398216,"CSE148","201910","Y","A","A",4
"78",8398216,"FIN301","202010","Y","B","B+",3.3
"79",8398216,"ISA225","201920","Y","B","B-",2.7
"80",8398216,"ISA235","201920","Y","B","B",3
"81",8398216,"MGT291","201920","Y","B","B",3
"82",8398122,"ACC221","201820","Y","A","A",4
"83",8398122,"BUS104","201810","Y","A","A",4
"84",8398122,"CSE148","201820","Y","A","A",4
"85",8398122,"ECO201","201810","Y","A","A+",4
"86",8398122,"FIN301","201920","Y","A","A-",3.7
"87",8398122,"ISA225","201910","Y","A","A",4
"88",8398122,"ISA235","201910","Y","A","A",4
"89",8398122,"MGT291","201910","Y","A","A",4
"90",8398101,"ACC221","202010","Y","B","B",3
"91",8398101,"BUS104","201910","Y","B","B+",3.3
"92",8398101,"CSE148","201920","Y","A","A-",3.7
"93",8398101,"ECO201","201820","Y","B","B+",3.3
"94",8398101,"FIN301","202110","Y","B","B+",3.3
"95",8398101,"ISA225","201920","Y","A","A",4
"96",8398101,"ISA235","202010","Y","B","B+",3.3
"97",8398101,"MGT291","201920","Y","B","B-",2.7
"98",8398101,"MTH151","201810","Y","B","B+",3.3
"99",8397628,"BUS104","201810","Y","A","A-",3.7
"100",8397628,"CSE148","201820","Y","A","A-",3.7
"101",8397628,"FIN301","202010","Y","A","A-",3.7
"102",8397628,"ISA225","202020","Y","A","A-",3.7
"103",8397628,"ISA235","201910","Y","C","C+",2.3
"104",8397628,"MGT291","201820","Y","B","B+",3.3
"105",8397628,"MTH151","201820","Y","B","B-",2.7
"106",8389477,"BUS104","201820","Y","A","A-",3.7
"107",8389477,"CSE148","201810","Y","A","A-",3.7
"108",8389477,"FIN301","202110","Y","B","B+",3.3
"109",8389477,"ISA225","201920","Y","B","B",3
"110",8389477,"ISA235","201910","Y","A","A",4
"111",8389477,"MGT291","202030","Y","A","A",4
"112",8389477,"MTH151","201810","Y","B","B+",3.3
"113",8389082,"ACC221","201810","Y","B","B+",3.3
"114",8389082,"BUS104","201820","Y","A","A",4
