"","Student ID","Cohort Term","Term Code","Enrolled Student Count","Major 1","Major 2","Major 3"
"1",8023864,"202510","202510",1,"BA Major",NA,NA
"2",8024720,"202510","202510",1,"BA Major",NA,NA
"3",8026176,"202510","202510",1,"BA Major",NA,NA
"4",8031298,"202510","202510",1,"BA Major",NA,NA
"5",8034088,"202510","202510",1,"BA Major",NA,NA
"6",8035324,"202510","202510",1,"BA Major",NA,NA
"7",8035775,"202510","202510",1,"BA Major",NA,NA
"8",8035951,"202510","202510",1,"BA Major",NA,NA
"9",8036132,"202510","202510",1,"BA Major",NA,NA
"10",8036194,"202510","202510",1,"BA Major",NA,NA
"11",8036672,"202510","202510",1,"BA Major",NA,NA
"12",8036698,"202510","202510",1,"BA Major",NA,NA
"13",8036831,"202510","202510",1,"BA Major",NA,NA
"14",8036913,"202510","202510",1,"BA Major",NA,NA
"15",8037690,"202510","202510",1,"BA Major",NA,NA
"16",8037772,"202510","202510",1,"BA Major",NA,NA
"17",8038501,"202510","202510",1,"BA Major",NA,NA
"18",8038521,"202510","202510",1,"BA Major",NA,NA
"19",8038546,"202510","202510",1,"BA Major",NA,NA
"20",8038562,"202510","202510",1,"BA Major",NA,NA
"21",8039444,"202510","202510",1,"BA Major",NA,NA
"22",8039868,"202510","202510",1,"BA Major",NA,NA
"23",8040059,"202510","202510",1,"BA Major",NA,NA
"24",8040075,"202510","202510",1,"BA Major",NA,NA
"25",8040219,"202510","202510",1,"BA Major",NA,NA
"26",8040445,"202510","202510",1,"BA Major",NA,NA
"27",8040552,"202510","202510",1,"BA Major",NA,NA
"28",8041080,"202510","202510",1,"BA Major",NA,NA
"29",8041446,"202510","202510",1,"BA Major",NA,NA
"30",8041624,"202510","202510",1,"BA Major",NA,NA
"31",8042057,"202510","202510",1,"BA Major","Entrepreneurship",NA
"32",8043161,"202510","202510",1,"BA Major",NA,NA
"33",8043208,"202510","202510",1,"BA Major",NA,NA
"34",8043424,"202510","202510",1,"BA Major",NA,NA
"35",8043792,"202510","202510",1,"BA Major",NA,NA
"36",8043826,"202510","202510",1,"BA Major",NA,NA
"37",8044066,"202510","202510",1,"BA Major",NA,NA
"38",8044808,"202510","202510",1,"BA Major",NA,NA
"39",8045712,"202510","202510",1,"BA Major","Entrepreneurship",NA
"40",8046171,"202510","202510",1,"BA Major",NA,NA
"41",8046524,"202510","202510",1,"BA Major",NA,NA
"42",8046613,"202510","202510",1,"BA Major",NA,NA
"43",8046911,"202510","202510",1,"BA Major",NA,NA
"44",8047746,"202510","202510",1,"BA Major",NA,NA
"45",8047893,"202510","202510",1,"BA Major",NA,NA
"46",8049390,"202510","202510",1,"BA Major",NA,NA
"47",8049419,"202510","202510",1,"BA Major",NA,NA
"48",8049767,"202510","202510",1,"BA Major",NA,NA
"49",8050112,"202510","202510",1,"BA Major",NA,NA
"50",8050561,"202510","202510",1,"BA Major",NA,NA
"51",8050565,"202510","202510",1,"BA Major",NA,NA
"52",8050777,"202510","202510",1,"BA Major",NA,NA
"53",8050880,"202510","202510",1,"BA Major",NA,NA
"54",8050882,"202510","202510",1,"BA Major",NA,NA
"55",8051472,"202510","202510",1,"BA Major",NA,NA
"56",8051545,"202510","202510",1,"BA Major",NA,NA
"57",8051960,"202510","202510",1,"BA Major",NA,NA
"58",8052697,"202510","202510",1,"BA Major",NA,NA
"59",8053165,"202510","202510",1,"BA Major",NA,NA
"60",8053497,"202510","202510",1,"BA Major",NA,NA
"61",8053929,"202510","202510",1,"BA Major",NA,NA
"62",8054010,"202510","202510",1,"BA Major",NA,NA
"63",8054660,"202510","202510",1,"BA Major",NA,NA
"64",8055646,"202510","202510",1,"BA Major",NA,NA
"65",8055672,"202510","202510",1,"BA Major","Entrepreneurship",NA
"66",8055733,"202510","202510",1,"BA Major",NA,NA
"67",8056384,"202510","202510",1,"BA Major",NA,NA
"68",8056949,"202510","202510",1,"BA Major",NA,NA
"69",8057083,"202510","202510",1,"BA Major",NA,NA
"70",8059043,"202510","202510",1,"BA Major",NA,NA
"71",8059580,"202510","202510",1,"BA Major",NA,NA
"72",8059728,"202510","202510",1,"BA Major",NA,NA
"73",8060075,"202510","202510",1,"BA Major",NA,NA
"74",8060712,"202510","202510",1,"BA Major",NA,NA
"75",8061238,"202510","202510",1,"BA Major",NA,NA
"76",8061318,"202510","202510",1,"BA Major",NA,NA
"77",8061828,"202510","202510",1,"BA Major",NA,NA
"78",8061848,"202510","202510",1,"BA Major",NA,NA
"79",8062031,"202510","202510",1,"BA Major",NA,NA
"80",8062215,"202510","202510",1,"BA Major",NA,NA
"81",8062572,"202510","202510",1,"BA Major",NA,NA
"82",8063263,"202510","202510",1,"BA Major",NA,NA
"83",8063741,"202510","202510",1,"BA Major",NA,NA
"84",8064301,"202510","202510",1,"BA Major",NA,NA
"85",8071760,"202410","202410",1,"BA Major",NA,NA
"86",8071760,"202410","202420",1,"BA Major",NA,NA
"87",8071760,"202410","202510",1,"BA Major",NA,NA
"88",8071769,"202410","202410",1,"CAS",NA,NA
"89",8071769,"202410","202420",1,"CAS",NA,NA
"90",8071769,"202410","202510",1,"BA Major",NA,NA
"91",8078285,"202510","202510",1,"BA Major",NA,NA
"92",8078814,"202510","202510",1,"BA Major",NA,NA
"93",8079447,"202510","202510",1,"BA Major",NA,NA
"94",8079808,"202410","202410",1,"CAS",NA,NA
"95",8079808,"202410","202420",1,"CAS",NA,NA
"96",8079808,"202410","202510",1,"BA Major",NA,NA
"97",8082698,"202510","202510",1,"BA Major",NA,NA
"98",8084216,"202510","202510",1,"BA Major",NA,NA
"99",8085468,"202410","202410",1,"BA Major",NA,NA
"100",8085468,"202410","202420",1,"BA Major",NA,NA
"101",8085468,"202410","202510",1,"Accountancy",NA,NA
"102",8085741,"202410","202410",1,"BA Major",NA,NA
"103",8085741,"202410","202420",1,"BA Major",NA,NA
"104",8085741,"202410","202510",1,"BA Major",NA,NA
"105",8088041,"202410","202410",1,"BA Major",NA,NA
"106",8088041,"202410","202420",1,"Marketing",NA,NA
"107",8088041,"202410","202510",1,"Marketing",NA,NA
"108",8088162,"202410","202410",1,"BA Major",NA,NA
"109",8088162,"202410","202420",1,"Marketing",NA,NA
"110",8088162,"202410","202510",1,"Marketing",NA,NA
"111",8088163,"202410","202410",1,"BA Major","Entrepreneurship",NA
"112",8088163,"202410","202420",1,"BA Major","Entrepreneurship",NA
"113",8088163,"202410","202510",1,"BA Major","Entrepreneurship",NA
"114",8088846,"202410","202410",1,"BA Major",NA,NA
"115",8088846,"202410","202420",1,"BA Major",NA,NA
"116",8088846,"202410","202510",1,"BA Major",NA,NA
"117",8091615,"202410","202410",1,"BA Major",NA,NA
"118",8091615,"202410","202420",1,"BA Major",NA,NA
"119",8091615,"202410","202510",1,"BA Major",NA,NA
"120",8092370,"202410","202410",1,"BA Major",NA,NA
"121",8092370,"202410","202420",1,"BA Major",NA,NA
"122",8092370,"202410","202510",1,"BA Major",NA,NA
"123",8093446,"202410","202410",1,"BA Major",NA,NA
"124",8093446,"202410","202420",1,"BA Major",NA,NA
"125",8093446,"202410","202510",1,"BA Major",NA,NA
"126",8093858,"202410","202410",1,"BA Major",NA,NA
"127",8093858,"202410","202420",1,"BA Major",NA,NA
"128",8093858,"202410","202510",1,"BA Major",NA,NA
"129",8094275,"202410","202410",1,"BA Major",NA,NA
"130",8094275,"202410","202420",1,"BA Major",NA,NA
"131",8094275,"202410","202510",1,"BA Major",NA,NA
"132",8094689,"202410","202410",1,"BA Major",NA,NA
"133",8094689,"202410","202420",1,"BA Major",NA,NA
"134",8094689,"202410","202510",1,"BA Major",NA,NA
"135",8094793,"202410","202410",1,"BA Major",NA,NA
"136",8094793,"202410","202420",1,"Finance",NA,NA
"137",8094793,"202410","202510",1,"Finance",NA,NA
"138",8095052,"202410","202410",1,"BA Major",NA,NA
"139",8095052,"202410","202420",1,"Accountancy",NA,NA
"140",8095052,"202410","202510",1,"Accountancy",NA,NA
"141",8096247,"202410","202410",1,"BA Major",NA,NA
"142",8096247,"202410","202420",1,"Marketing",NA,NA
"143",8096247,"202410","202510",1,"Marketing",NA,NA
"144",8096785,"202410","202410",1,"BA Major",NA,NA
"145",8096785,"202410","202420",1,"BA Major",NA,NA
"146",8096785,"202410","202510",1,"BA Major",NA,NA
"147",8096793,"202410","202410",1,"Undeclared - Business",NA,NA
"148",8096793,"202410","202420",1,"Undeclared - Business",NA,NA
"149",8096793,"202410","202510",1,"BA Major",NA,NA
"150",8097103,"202410","202410",1,"BA Major",NA,NA
"151",8097103,"202410","202420",1,"BA Major",NA,NA
"152",8097103,"202410","202510",1,"BA Major",NA,NA
"153",8097201,"202410","202410",1,"Marketing",NA,NA
"154",8097201,"202410","202420",1,"Marketing",NA,NA
"155",8097201,"202410","202510",1,"BA Major",NA,NA
"156",8097337,"202410","202410",1,"BA Major",NA,NA
"157",8097337,"202410","202420",1,"BA Major",NA,NA
"158",8097337,"202410","202510",1,"BA Major",NA,NA
"159",8097617,"202410","202410",1,"BA Major",NA,NA
"160",8097617,"202410","202420",1,"BA Major","Finance",NA
"161",8097617,"202410","202510",1,"BA Major","Finance",NA
"162",8097917,"202410","202410",1,"BA Major",NA,NA
"163",8097917,"202410","202420",1,"BA Major",NA,NA
"164",8097917,"202410","202510",1,"BA Major",NA,NA
"165",8098459,"202410","202410",1,"BA Major",NA,NA
"166",8098459,"202410","202420",1,"BA Major",NA,NA
"167",8098459,"202410","202510",1,"BA Major",NA,NA
"168",8098511,"202410","202410",1,"BA Major",NA,NA
"169",8098511,"202410","202420",1,"BA Major",NA,NA
"170",8098511,"202410","202510",1,"BA Major",NA,NA
"171",8098637,"202410","202410",1,"Business Economics",NA,NA
"172",8098637,"202410","202420",1,"BA Major",NA,NA
"173",8098637,"202410","202510",1,"Accountancy",NA,NA
"174",8098693,"202410","202410",1,"BA Major",NA,NA
"175",8098693,"202410","202420",1,"Marketing",NA,NA
"176",8098693,"202410","202510",1,"Marketing",NA,NA
"177",8098995,"202410","202410",1,"BA Major","CAS",NA
"178",8098995,"202410","202420",1,"BA Major","CAS",NA
"179",8098995,"202410","202510",1,"BA Major","CAS",NA
"180",8099721,"202410","202410",1,"BA Major",NA,NA
"181",8099721,"202410","202420",1,"BA Major",NA,NA
"182",8099721,"202410","202510",1,"BA Major",NA,NA
"183",8099820,"202410","202410",1,"BA Major",NA,NA
"184",8099820,"202410","202420",1,"BA Major",NA,NA
"185",8099820,"202410","202510",1,"BA Major",NA,NA
"186",8100116,"202410","202410",1,"Undeclared - Business",NA,NA
"187",8100116,"202410","202420",1,"Undeclared - Business",NA,NA
"188",8100116,"202410","202510",1,"BA Major",NA,NA
"189",8100342,"202410","202410",1,"CAS",NA,NA
"190",8100342,"202410","202420",1,"CAS",NA,NA
"191",8100342,"202410","202510",1,"BA Major",NA,NA
"192",8100526,"202410","202410",1,"CAS",NA,NA
