"","Student ID","Course","Term Code","Earned Academic Credit","Final Letter Grade Group","Final Letter Grade","GPA Quality Points"
"1",8425267,"ACC221","201910","Y","C","C+",2.3
"2",8425267,"BUS104","201810","Y","A","A-",3.7
"3",8425267,"CSE148","201820","Y","D","D+",1.3
"4",8425267,"ECO201","201820","Y","C","C+",2.3
"5",8425267,"ISA225","202010","Y","B","B+",3.3
"6",8425267,"ISA235","201920","Y","B","B",3
"7",8425267,"MGT291","202010","Y","A","A",4
"8",8425267,"MTH151","201820","Y","B","B-",2.7
"9",8401257,"ACC221","201820","Y","B","B+",3.3
"10",8401257,"BUS104","201810","Y","B","B",3
"11",8401257,"CSE148","201820","Y","A","A-",3.7
"12",8401257,"ECO201","201810","Y","A","A",4
"13",8401257,"ISA225","201820","Y","B","B",3
"14",8401257,"ISA235","201910","Y","A","A",4
"15",8401257,"MGT291","201920","Y","A","A-",3.7
"16",8401257,"MTH151","201710","Y","B","B",3
"17",8398877,"ACC221","201920","Y","C","C+",2.3
"18",8398877,"BUS104","201920","Y","A","A-",3.7
"19",8398877,"CSE148","201910","Y","B","B",3
"20",8398877,"ECO201","202010","Y","B","B-",2.7
"21",8398877,"FIN301","202030","Y","B","B",3
"22",8398877,"MGT291","202015","Y","C","C",2
"23",8398877,"MTH151","201810","Y","A","A-",3.7
"24",8398329,"ACC221","201820","Y","A","A",4
"25",8398329,"BUS104","201810","Y","A","A",4
"26",8398329,"CSE148","201820","Y","A","A",4
"27",8398329,"ECO201","201910","Y","A","A",4
"28",8398329,"FIN301","201920","Y","A","A",4
"29",8398329,"ISA225","201920","Y","A","A",4
"30",8398329,"ISA235","201910","Y","A","A-",3.7
"31",8398329,"MGT291","201920","Y","A","A",4
"32",8398303,"ACC221","201920","Y","C","C-",1.7
"33",8398303,"BUS104","201910","Y","B","B+",3.3
"34",8398303,"CSE148","201920","Y","B","B-",2.7
"35",8398303,"ECO201","202010","Y","B","B",3
"36",8398303,"FIN301","202030","Y","C","C",2
"37",8398303,"ISA225","201920","Y","C","C",2
"38",8398303,"ISA235","202010","Y","B","B",3
"39",8398303,"MGT291","202110","Y","A","A",4
"40",8398165,"ACC221","201820","Y","A","A-",3.7
"41",8398165,"BUS104","201810","Y","A","A",4
"42",8398165,"CSE148","201820","Y","A","A-",3.7
"43",8398165,"ECO201","201910","Y","A","A",4
"44",8398165,"FIN301","201920","Y","A","A",4
"45",8398165,"ISA225","201910","Y","B","B+",3.3
"46",8398165,"ISA235","201910","Y","B","B+",3.3
"47",8398165,"MGT291","201920","Y","A","A-",3.7
"48",8398165,"MTH151","201810","Y","A","A",4
"49",8398087,"ACC221","201820","Y","B","B",3
"50",8398087,"BUS104","201820","Y","A","A",4
"51",8398087,"CSE148","201810","Y","B","B+",3.3
"52",8398087,"ECO201","201910","Y","A","A",4
"53",8398087,"FIN301","202010","Y","C","C+",2.3
"54",8398087,"ISA225","201910","Y","B","B-",2.7
"55",8398087,"ISA235","201910","Y","B","B",3
"56",8398087,"MGT291","201920","Y","B","B",3
"57",8398087,"MTH151","201810","Y","B","B-",2.7
"58",8389477,"BUS104","201820","Y","A","A-",3.7
"59",8389477,"CSE148","201810","Y","A","A-",3.7
"60",8389477,"FIN301","202110","Y","B","B+",3.3
"61",8389477,"ISA225","201920","Y","B","B",3
"62",8389477,"ISA235","201910","Y","A","A",4
"63",8389477,"MGT291","202030","Y","A","A",4
"64",8389477,"MTH151","201810","Y","B","B+",3.3
"65",8389212,"ACC221","201820","Y","C","C",2
"66",8389212,"BUS104","201810","Y","B","B+",3.3
"67",8389212,"CSE148","201820","Y","C","C-",1.7
"68",8389212,"FIN301","201920","Y","C","C",2
"69",8389212,"ISA225","201910","Y","B","B",3
"70",8389212,"ISA235","201920","Y","A","A-",3.7
