"","Student ID","Term.Code.Graduated","Degree Type","Degree","Semesters to Degree Average","Major 1","Major 2"
"1","8183142","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"2","8185339","202520","Bachelor","B.S. in Business",8,"Entrepreneurship","Information&Cybersec Mgt"
"3","8185339","202520","Bachelor","B.S. in Business",8,"Entrepreneurship","Information&Cybersec Mgt"
"4","8188789","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"5","8189765","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"6","8190053","202520","Bachelor","B.S. in Business",6,"Information&Cybersec Mgt",NA
"7","8190645","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"8","8190732","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"9","8193517","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"10","8194067","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"11","8194253","202520","Bachelor","B.S. in Business",8,"Business Analytics","Information&Cybersec Mgt"
"12","8194429","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"13","8196411","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"14","8197248","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"15","8197334","202510","Bachelor","B.S. in Business",7,"Accountancy",NA
"16","8201100","202520","Bachelor","B.S. in Business",8,"Business Analytics","Information&Cybersec Mgt"
"17","8201508","202520","Bachelor","B.S. in Business",8,"Finance","Information&Cybersec Mgt"
"18","8201508","202520","Bachelor","B.S. in Business",8,"Finance","Information&Cybersec Mgt"
"19","8201904","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"20","8203154","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt","Theatre"
"21","8203154","202520","Bachelor","Bachelor of Arts in Theatre",8,"Information&Cybersec Mgt","Theatre"
"22","8203997","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"23","8204070","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"24","8204796","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"25","8205621","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt","Marketing"
"26","8205621","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt","Marketing"
"27","8205774","202515","Bachelor","B.S. in Business",7,"Information&Cybersec Mgt",NA
"28","8207043","202520","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"29","8208211","202520","Bachelor","B.S. in Business",8,"Business Analytics","Information&Cybersec Mgt"
"30","8218558","202510","Bachelor","B.S. in Business",7,"Information&Cybersec Mgt",NA
"31","8223835","202420","Bachelor","B.S. in Business",8,"Information Systems",NA
"32","8226272","202420","Bachelor","B.S. in Business",8,"Information Systems","Marketing"
"33","8226272","202420","Bachelor","B.S. in Business",8,"Information Systems","Marketing"
"34","8226542","202420","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"35","8230669","202420","Bachelor","B.S. in Business",8,"Accountancy","Information Systems"
"36","8230669","202420","Bachelor","B.S. in Business",8,"Accountancy","Information Systems"
"37","8230735","202420","Bachelor","B.S. in Business",8,"Business Analytics","Information Systems"
"38","8231350","202420","Bachelor","B.S. in Business",8,"Finance",NA
"39","8231569","202420","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"40","8231842","202420","Bachelor","B.S. in Business",8,"Information Systems",NA
"41","8232786","202420","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"42","8233515","202420","Bachelor","B.S. in Business",8,"Business Economics",NA
"43","8233844","202420","Bachelor","B.S. in Business",8,"Business Analytics",NA
"44","8234195","202420","Bachelor","B.S. in Business",8,"Information Systems",NA
"45","8235359","202420","Bachelor","B.S. in Business",8,"Information Systems",NA
"46","8235554","202420","Bachelor","B.S. in Business",8,"Finance",NA
"47","8235697","202420","Bachelor","B.S. in Business",8,"Information Systems",NA
"48","8235926","202420","Bachelor","B.S. in Business",8,"Business Analytics",NA
"49","8236079","202410","Bachelor","B.S. in Business",7,"Information Systems",NA
"50","8237411","202420","Bachelor","B.S. in Business",8,"Information Systems",NA
"51","8238330","202420","Bachelor","B.S. in Business",8,"Information Systems","Marketing"
"52","8238330","202420","Bachelor","B.S. in Business",8,"Information Systems","Marketing"
"53","8239231","202420","Bachelor","B.S. in Business",8,"Finance",NA
"54","8239643","202410","Bachelor","B.S. in Business",7,"Information Systems",NA
"55","8240060","202420","Bachelor","B.S. in Business",8,"Supply Chain & Operations Mgmt",NA
"56","8240157","202420","Bachelor","B.S. in Business",8,"Information Systems",NA
"57","8242006","202420","Bachelor","B.S. in Business",8,"Information&Cybersec Mgt",NA
"58","8242443","202420","Bachelor","B.S. in Business",8,"Information Systems",NA
"59","8243519","202420","Bachelor","B.S. in Business",8,"Accountancy",NA
"60","8243906","202420","Bachelor","B.S. in Business",8,"Information Systems",NA
