"","Student ID","Term Code","Term UG MU Earned CrHr","Term UG Overall Earned CrHr (MU and Non-MU)","Cum UG Overall Earned CrHr (MU and Non-MU)"
"1",8098858,"202410",16,16,16
"2",8098858,"202420",15,15,31
"3",8108061,"202410",15,39,39
"4",8108061,"202420",14,14,53
"5",8108061,"202510",NA,NA,53
"6",8109444,"202410",15,53,53
"7",8109444,"202420",17,17,70
"8",8109444,"202510",NA,NA,70
"9",8110017,"202410",16,16,16
"10",8110017,"202420",14,14,30
"11",8110017,"202510",NA,NA,30
"12",8113940,"202410",14,27,27
"13",8113940,"202420",17,17,44
"14",8113940,"202510",NA,NA,44
"15",8115814,"202410",17,17,17
"16",8115814,"202420",15,15,32
"17",8115814,"202510",NA,NA,32
"18",8118995,"202410",15,40,40
"19",8118995,"202420",16,16,56
"20",8118995,"202510",NA,NA,56
"21",8118995,"202520",NA,NA,56
"22",8119866,"202410",15,38,38
"23",8119866,"202420",15,15,53
"24",8119866,"202510",NA,NA,53
"25",8125309,"202230",3,3,3
"26",8125309,"202410",15,36,39
"27",8125309,"202420",14,14,53
"28",8125309,"202510",NA,NA,53
"29",8125309,"202520",NA,NA,53
"30",8132821,"202310",15,39,39
"31",8132821,"202320",15,15,54
"32",8132821,"202410",15,15,69
"33",8136759,"202310",17,36,36
"34",8136759,"202320",19,19,55
"35",8136759,"202410",15,15,70
"36",8136759,"202420",15,15,85
"37",8136759,"202510",NA,NA,85
"38",8136759,"202515",NA,NA,85
"39",8136759,"202520",NA,NA,85
"40",8144976,"202310",15,32,32
"41",8144976,"202320",16,16,48
"42",8144976,"202410",15,15,63
"43",8144976,"202420",15,15,78
"44",8144976,"202510",NA,NA,78
"45",8144976,"202520",NA,NA,78
"46",8147231,"202310",16,53,53
"47",8147231,"202320",15,15,68
"48",8147231,"202410",15,15,83
"49",8147231,"202420",15,15,98
"50",8147231,"202510",NA,NA,98
"51",8149309,"202310",16,25,25
"52",8149309,"202320",16,16,41
"53",8149309,"202410",13,13,54
"54",8149309,"202420",15,15,69
"55",8149309,"202510",NA,NA,69
"56",8151695,"202310",15,42,42
"57",8151695,"202320",13,13,55
"58",8151695,"202330",3,3,58
"59",8151695,"202410",15,15,73
"60",8151695,"202420",17,17,90
"61",8151695,"202510",NA,NA,90
"62",8151695,"202515",NA,NA,90
"63",8152749,"202310",16,16,16
"64",8152749,"202320",15,15,31
"65",8152749,"202410",15,15,46
"66",8152749,"202420",14,14,60
"67",8152749,"202510",2,2,62
"68",8160693,"202310",15,24,24
"69",8160693,"202320",14,14,38
"70",8160693,"202410",13,13,51
"71",8160693,"202420",15,15,66
"72",8160693,"202510",NA,NA,66
"73",8166210,"202310",16,29,29
"74",8166210,"202320",16,16,45
"75",8166210,"202330",6,6,51
"76",8166210,"202410",16,16,67
"77",8166210,"202415",3,3,70
"78",8166210,"202420",15,15,85
"79",8166210,"202510",NA,NA,85
"80",8183049,"202210",15,64,64
"81",8183049,"202220",15,15,79
"82",8183049,"202310",15,15,94
"83",8183049,"202330",9,9,103
"84",8183049,"202410",15,15,118
"85",8183049,"202420",16,16,134
"86",8183049,"202510",NA,NA,134
"87",8183142,"202210",10,20,20
"88",8183142,"202220",17,17,37
"89",8183142,"202230",3,3,40
"90",8183142,"202310",15,15,55
"91",8183142,"202320",14,14,69
"92",8183142,"202410",15,15,84
"93",8183142,"202420",15,15,99
"94",8183142,"202430",6,6,105
"95",8183142,"202510",NA,NA,105
"96",8185339,"202210",18,44,44
"97",8185339,"202220",19,19,63
"98",8185339,"202310",18,18,81
"99",8185339,"202320",15,15,96
"100",8185339,"202330",6,6,102
"101",8185339,"202410",15,15,117
"102",8185339,"202420",18,18,135
"103",8185339,"202510",NA,NA,135
"104",8188789,"202210",12,27,27
"105",8188789,"202220",15,15,42
"106",8188789,"202310",12,12,54
"107",8188789,"202315",3,3,57
"108",8188789,"202320",12,12,69
"109",8188789,"202410",12,17,86
"110",8188789,"202415",3,3,89
"111",8188789,"202420",10,10,99
"112",8188789,"202510",NA,NA,99
"113",8189765,"202210",12,36,36
"114",8189765,"202220",16,16,52
"115",8189765,"202310",15,15,67
"116",8189765,"202320",12,12,79
"117",8189765,"202410",15,15,94
"118",8189765,"202420",12,12,106
"119",8189765,"202510",NA,NA,106
"120",8190053,"202310",16,70,70
"121",8190053,"202315",3,3,73
"122",8190053,"202320",13,13,86
"123",8190053,"202410",12,12,98
"124",8190053,"202415",6,6,104
"125",8190053,"202420",12,12,116
"126",8190053,"202430",6,6,122
"127",8190053,"202510",NA,NA,122
"128",8190053,"202515",NA,NA,122
"129",8190645,"202210",16,27,27
"130",8190645,"202220",17,17,44
"131",8190645,"202310",16,16,60
"132",8190645,"202320",15,15,75
"133",8190645,"202410",16,16,91
"134",8190645,"202420",16,16,107
"135",8190645,"202510",NA,NA,107
"136",8190732,"202210",19,51,51
"137",8190732,"202220",17,17,68
"138",8190732,"202310",12,12,80
"139",8190732,"202320",15,15,95
"140",8190732,"202410",15,15,110
"141",8190732,"202420",14,14,124
"142",8190732,"202510",NA,NA,124
"143",8190732,"202515",NA,NA,124
"144",8193517,"202210",15,49,49
"145",8193517,"202220",15,15,64
"146",8193517,"202310",19,19,83
"147",8193517,"202320",20,20,103
"148",8193517,"202410",20,20,123
"149",8193517,"202420",18,18,141
