"","Student.ID","Cohort.Term","Term.Code","Major.1","Major.2","Major.3","Term.Code.Graduated","Graduated","Cum.Credit.Hours","Cum.UG.Crs.GPA"
"1",8098858,202410,202410,"IS Major","None","None",NA,NA,16,2.52
"2",8098858,202410,202420,"IS Major","None","None",NA,NA,31,2.4
"3",8108061,202410,202410,"IS Major","None","None",NA,NA,39,3.86
"4",8108061,202410,202420,"IS Major","None","None",NA,NA,53,3.63
"5",8108061,202410,202510,"IS Major","None","None",NA,NA,53,3.63
"6",8109444,202410,202410,"Cybersecurity Mgt Major","None","None",NA,NA,53,3.82
"7",8109444,202410,202420,"IS Major","None","None",NA,NA,70,3.82
"8",8109444,202410,202510,"IS Major","None","None",NA,NA,70,3.82
"9",8110017,202410,202410,"IS Major","None","None",NA,NA,16,2.4
"10",8110017,202410,202420,"IS Major","None","None",NA,NA,30,2.53
"11",8110017,202410,202510,"Cybersecurity Mgt Major","None","None",NA,NA,30,2.53
"12",8113940,202410,202410,"Marketing","None","None",NA,NA,27,3.82
"13",8113940,202410,202420,"Marketing","None","None",NA,NA,44,3.84
"14",8113940,202410,202510,"IS Major","None","None",NA,NA,44,3.84
"15",8115814,202410,202410,"IS Major","None","None",NA,NA,17,3.3
"16",8115814,202410,202420,"Cybersecurity Mgt Major","None","None",NA,NA,32,2.87
"17",8115814,202410,202510,"Cybersecurity Mgt Major","None","None",NA,NA,32,2.87
"18",8118995,202410,202410,"IS Major","None","None",NA,NA,40,3.6
"19",8118995,202410,202420,"Cybersecurity Mgt Major","None","None",NA,NA,56,3.67
"20",8118995,202410,202510,"Cybersecurity Mgt Major","None","None",NA,NA,56,3.67
"21",8119866,202410,202410,"Undeclared - Business","None","None",NA,NA,38,3.77
"22",8119866,202410,202420,"IS Major","None","None",NA,NA,53,3.68
"23",8119866,202410,202510,"IS Major","None","None",NA,NA,53,3.68
"24",8125309,202410,202410,"IS Major","None","None",NA,NA,39,4
"25",8125309,202410,202420,"Cybersecurity Mgt Major","None","None",NA,NA,53,4
"26",8125309,202410,202510,"Cybersecurity Mgt Major","None","None",NA,NA,53,4
"27",8132821,202310,202310,"BA Major","None","None",NA,NA,39,3.8
"28",8132821,202310,202320,"IS Major","None","None",NA,NA,54,3.6
"29",8132821,202310,202410,"IS Major","None","None",NA,NA,69,3.42
"30",8136759,202310,202310,"CAS","None","None",NA,NA,36,3.77
