"","Student ID","Course","Term Code","Earned Academic Credit","Final Letter Grade Group","Final Letter Grade","GPA Quality Points"
"1",8425267,"ACC221","201910","Y","C","C+",2.3
"2",8425267,"BUS104","201810","Y","A","A-",3.7
"3",8425267,"CSE148","201820","Y","D","D+",1.3
"4",8425267,"ECO201","201820","Y","C","C+",2.3
"5",8425267,"ISA225","202010","Y","B","B+",3.3
"6",8425267,"ISA235","201920","Y","B","B",3
"7",8425267,"ISA245","202010","Y","A","A-",3.7
"8",8425267,"ISA281","201920","Y","A","A-",3.7
"9",8425267,"ISA291","202110","Y","A","A",4
"10",8425267,"ISA387","202110","Y","A","A",4
"11",8425267,"ISA406","202120","Y","B","B",3
"12",8425267,"ISA495","202120","Y","A","A",4
"13",8425267,"MGT291","202010","Y","A","A",4
"14",8425267,"MTH151","201820","Y","B","B-",2.7
"15",8401257,"ACC221","201820","Y","B","B+",3.3
"16",8401257,"BUS104","201810","Y","B","B",3
"17",8401257,"CSE148","201820","Y","A","A-",3.7
"18",8401257,"ECO201","201810","Y","A","A",4
"19",8401257,"ISA225","201820","Y","B","B",3
"20",8401257,"ISA235","201910","Y","A","A",4
"21",8401257,"ISA245","201920","Y","A","A",4
"22",8401257,"ISA291","201920","Y","B","B",3
"23",8401257,"ISA387","202010","Y","B","B+",3.3
"24",8401257,"ISA401","202010","Y","B","B+",3.3
"25",8401257,"ISA406","202020","Y","A","A",4
"26",8401257,"ISA477","202010","Y","A","A-",3.7
"27",8401257,"ISA495","202110","Y","A","A-",3.7
"28",8401257,"ISA512","202110","Y","A","A",4
"29",8401257,"ISA514","202110","Y","B","B+",3.3
"30",8401257,"ISA591","202010","Y","A","A",4
"31",8401257,"ISA616","202110","Y","A","A",4
"32",8401257,"ISA630","202120","Y","A","A",4
"33",8401257,"ISA632","202120","Y","A","A-",3.7
"34",8401257,"ISA633","202120","Y","A","A-",3.7
"35",8401257,"ISA634","202120","Y","B","B+",3.3
"36",8401257,"ISA650","202115","Y","A","A",4
"37",8401257,NA,"202120","Y","A","A",4
"38",8401257,"MGT291","201920","Y","A","A-",3.7
"39",8401257,"MTH151","201710","Y","B","B",3
"40",8398877,"ACC221","201920","Y","C","C+",2.3
"41",8398877,"BUS104","201920","Y","A","A-",3.7
"42",8398877,"CSE148","201910","Y","B","B",3
"43",8398877,"ECO201","202010","Y","B","B-",2.7
"44",8398877,"FIN301","202030","Y","B","B",3
"45",8398877,"MGT291","202015","Y","C","C",2
"46",8398877,"MTH151","201810","Y","A","A-",3.7
"47",8398329,"ACC221","201820","Y","A","A",4
"48",8398329,"BUS104","201810","Y","A","A",4
"49",8398329,"CSE148","201820","Y","A","A",4
"50",8398329,"ECO201","201910","Y","A","A",4
"51",8398329,"FIN301","201920","Y","A","A",4
"52",8398329,"ISA225","201920","Y","A","A",4
"53",8398329,"ISA235","201910","Y","A","A-",3.7
"54",8398329,"ISA245","202010","Y","A","A",4
"55",8398329,"ISA281","202010","Y","B","B+",3.3
"56",8398329,"ISA291","202020","Y","A","A",4
"57",8398329,"ISA301","202020","Y","A","A",4
"58",8398329,"ISA387","202110","Y","A","A",4
"59",8398329,"ISA406","202120","Y","A","A",4
"60",8398329,"ISA495","202020","Y","A","A+",4
"61",8398329,"ISA514","202020","Y","B","B+",3.3
"62",8398329,"ISA591","202110","Y","A","A-",3.7
"63",8398329,"MGT291","201920","Y","A","A",4
"64",8398303,"ACC221","201920","Y","C","C-",1.7
"65",8398303,"BUS104","201910","Y","B","B+",3.3
"66",8398303,"CSE148","201920","Y","B","B-",2.7
"67",8398303,"ECO201","202010","Y","B","B",3
"68",8398303,"FIN301","202030","Y","C","C",2
"69",8398303,"ISA225","201920","Y","C","C",2
"70",8398303,"ISA235","202010","Y","B","B",3
"71",8398303,"ISA245","202020","Y","B","B-",2.7
